name,_delete,nameZh,nameJa,aliases,avatar,birth,bloodType,height,weight,threeSize,cup,retired,retiredAt,debut,agency,x,instagram,tiktok,works
初川みなみ,,初川南,初川みなみ,,https://commons.wikimedia.org/wiki/Special:FilePath/%E5%88%9D%E5%B7%9D%E3%81%BF%E3%81%AA%E3%81%BFCIMG4158.jpg?width=200,1995-01-19,O,156,,86 - 59 - 88,D,TRUE,2022-05-27,2014-07-13,MOODYZ,hatsukawa_mnm,hatsukaw_aminami,,
加斗レア,,,加斗レア,笠木彩花,,1984-05-16,O,160,,83 - 59 - 85,C,TRUE,2008,2005,,,,,
加瀬あゆむ,,,加瀬あゆむ,,,1987-02-14,A,150,37kg,80 - 58 - 82,C,TRUE,,2005,,ayumukase,,,
加藤あやの,,加藤綾野,加藤あやの,山城、みずほ,,1983-09-29,B,162,,90 - 58 - 93,F,FALSE,,2011-10-11,マドンナ,ayanokatou,ayano_kato929,,
北岡錦,,,北岡錦,,https://www.minnano-av.com/p_actress_125_125/001/413341.jpg?new,1971-04-09,O,162,,90 - 60 - 83,,TRUE,1992,1991,,,,,
北島玲,,北島玲,北島玲,玲丸、北嶋玲,,1982-12-18,O,165,,96 - 65 - 90,G,FALSE,,2006,,bTxCiNrhrXlLInc,,,
北川瞳,,北川瞳,北川瞳,おっぱいひとみん,,1991-12-02,A,155,41kg,88 - 57 - 85,G,TRUE,2015,2010,,erika1202hsgw,,,
南條加奈,,,南條加奈,,,,,,,,,FALSE,,,,,,,
南梨央奈,,南梨央奈,南梨央奈,小林、莉央奈,https://commons.wikimedia.org/wiki/Special:FilePath/%E5%8D%97%E6%A2%A8%E6%9D%8F%E5%A4%AE_(52220462205).jpg?width=200,1992-12-23,O,155,44kg,85 - 60 - 86,C-70,FALSE,,2011-08-01,KUKI,mina_rio,,,
吉沢明歩,,吉澤明步,吉沢明歩,,https://commons.wikimedia.org/wiki/Special:FilePath/170805_%EC%9A%94%EC%8B%9C%EC%9E%90%EC%99%80_%EC%95%84%ED%82%A4%ED%98%B8_%ED%8C%AC%EB%AF%B8%ED%8C%85_(%EC%B2%AD%EB%8B%B4_%EC%97%90%EB%B9%84%EB%89%B4)_(3).jpg?width=200,1984-03-03,A,161,,82.7 - 61.8 - 87.9,E-69,TRUE,2019-04-29,2003-03-28,アリスJAPAN、エスワン、マキシング,akiho_yoshi,akiho_net,,
国見真菜,,,国見真菜,,https://www.minnano-av.com/p_actress_125_125/018/464909.jpg?new,1974-01-01,O,157,,88 - 58 - 84,,FALSE,,,VIP、アリスJAPAN,,,,
坂道みる,,Miru,坂道みる,坂道、みる,https://commons.wikimedia.org/wiki/Special:FilePath/TRE20250809Videoframe_1151117.png?width=200,1999-11-29,O,157,,82 - 59 - 83,E,FALSE,,2018,,miruteer_29,mirugram_55,,
夢乃あいか,,夢乃愛華,夢乃あいか,,https://commons.wikimedia.org/wiki/Special:FilePath/Aika_Yumeno_%E5%A4%A2%E4%B9%83_%E3%81%82%E3%81%84%E3%81%8B.jpg?width=200,1994-08-26,,149,,79 - 52 - 78,H,FALSE,,2013,エスワン,aika_yumeno,yumenoaika826,,
大島薫,,大島薰,大島薫,,https://www.minnano-av.com/p_actress_125_125/011/292241.jpg?new,1989-06-07,AB,165,53kg,85 - 76 - 90,,TRUE,,2015,レアル・ワークス,OshimaKaoru,ooshima.kaoru,,
大橋未久,,大橋未久,大橋未久,,,1987-12-24,A,158,,86 - 58 - 85,E,TRUE,2014,2007,,,,,
大沢瞳,,,大沢瞳,,,1979-01-13,AB,167,,88 - 60 - 90,D,FALSE,,1998,,,,,
天使もえ,,天使萌,天使もえ,,https://commons.wikimedia.org/wiki/Special:FilePath/Fresh_Summer_Fes!!_Gold_Division_IMG_9166.jpg?width=200,1994-07-10,A,155,42kg,84 - 57 - 82,D,TRUE,2025-07-28,2014-04-07,,AMATSUKA3,amatsuka.moe,amatsuka_moe,
天宮かのん,,,天宮かのん,,https://www.minnano-av.com/p_actress_125_125/023/570453.jpg?new,1979-12-03,,160,,87 - 60 - 88,,TRUE,,1998,,,,,
天宮花南,,,天宮花南,,https://commons.wikimedia.org/wiki/Special:FilePath/Trend_Girls_Photo_Session_(May_3%2C_2025)Image_processing_IMG_1080.jpg?width=200,1996-05-08,AB,155,,88 - 57 - 86,G,FALSE,,2021,MOODYZ,amamiya_kanan,amamiya_kanan,,
天月あず,,,天月あず,星なこ,,2000-07-19,A,162,,90 - 62 - 86,F,FALSE,,,,amatsukiazu,,,
天海つばさ,,天海翼,天海つばさ,,,1988-03-08,B,160,,85 - 60 - 88,E-65,TRUE,2025,2009-10-01,IdeaPocket,Amamitsubasa000,amami_tsubasa000,,
天海ゆり,,,天海ゆり,,https://www.minnano-av.com/p_actress_125_125/000/567395.jpg?new,,,158,,88 - 60 - 88,E,TRUE,2009,2006,,,,,
天海麗,,天海麗,天海麗,,,1984-03-28,A,150,,80 - 56 - 80,D-65,FALSE,,,,,,,
天野美優,,,天野美優,,,1998-01-11,A,165,,95 - 60 - 94,H,FALSE,,2016,,_amano_miyu,,,
天音まひろ,,,天音まひろ,,,,,,,,,FALSE,,,,,,,
奏音かのん,,奏音花音,奏音かのん,,,2000-05-09,A,166,48kg,86 - 59 - 85,D,TRUE,2024-04-26,2019,無垢,kanon_kanade_,kanon__kanade,kanonkanade,
奥井楓,,,奥井楓,,,1995-09-24,,160,,84 - 60 - 85,D,TRUE,,2020,,,,,
奥菜つばさ,,,奥菜つばさ,川村翼,https://www.minnano-av.com/p_actress_125_125/002/931466.jpg?new,1981-02-06,O,148,,88 - 58 - 83,,TRUE,2009,2000-05-06,,,,,
宇佐野瞳,,,宇佐野瞳,星見あい,,1989-05-21,,157,,85 - 58 - 87,D,FALSE,,,,usano_hitomi,,,
安城アンナ,,安城安娜,安城アンナ,,,1991-11-01,A,165,,86 - 58 - 83,C,TRUE,2013,2011,プレステージ,anaaaaaaaan,,,
宮下玲奈,,宮下玲奈,宮下玲奈,,https://commons.wikimedia.org/wiki/Special:FilePath/Rena_Miyashita_TREND_GIRLS_Photo_session202505031032.jpg?width=200,2002-07-15,B,162,44kg,83 - 57 - 85,D,FALSE,,2022-03-04,MOODYZ,rena_miyashita,rena__miyashita,rena_miyashita,
小俣わかめ,,,小俣わかめ,小俣、わかめ（おまた,,1985-10-02,A,162,,103 - 63 - 92,H,TRUE,2007,2005,,,,,
小倉由菜,,小倉由菜,小倉由菜,,https://commons.wikimedia.org/wiki/Special:FilePath/Yuna_Ogura_2025_promotion_photo.jpg?width=200,1998-11-05,O,156,23kg,83 - 58 - 87,D-65,FALSE,,2017-12-26,SOD,ogu_yuna,ogura_yuna,ogura_yunachan,
小川桃果,,,小川桃果,小川、桃果,,1990-03-27,B,160,,91 - 61 - 92,G,FALSE,,2015-06-11,溜池ゴロー,m0m0tan0327,,,
小栗杏菜,,,小栗杏菜,,https://www.minnano-av.com/p_actress_125_125/000/40516.jpg?new,1987-04-15,B,159,,83 - 58 - 84,,FALSE,,2006,,,,,
小沢アリス,,,小沢アリス,,https://www.minnano-av.com/p_actress_125_125/000/53732.jpg?new,,,,,,,FALSE,,,,,,,
小沢優,,,小沢優,,,1975-04-18,,170,,86 - 60 - 89,,TRUE,2008,2006,,,,,
小泉まり,,,小泉まり,小泉、まり,,1992-12-05,A,159,,87 - 60 - 93,E-65,TRUE,,2015,,Rennyu0810,rennyu_0810,,
小野六花,,小野六花,小野六花,,https://commons.wikimedia.org/wiki/Special:FilePath/Nekomanma!!_from_Otsuki-chan_no_Uta_1st_single_mini_live_Tower_Records_Ikebukuro_store_IMG_4523.jpg?width=200,2002-02-14,AB,148,,81 - 58 - 82,F,FALSE,,2020-07-06,MOODYZ,onorikka,ono_rikka,,
小野坂ゆいか,,小野坂唯花,小野坂ゆいか,,https://commons.wikimedia.org/wiki/Special:FilePath/Trend_Girls_Photo_Session_(May_4%2C_2025)IMG_3236.jpg?width=200,2002-02-09,A,164,,95 - 62 - 90,G,FALSE,,2024,アイデアポケット,yuika_onosaka,yuika_onosaka,,
小野寺舞,,,小野寺舞,,,2002-03-01,,156,,89 - 62 - 85,F,FALSE,,2023,SOD女子社員 レーベル,onoderamai_,,,
山岸逢花,,山岸綺花,山岸逢花,山岸、逢花,https://commons.wikimedia.org/wiki/Special:FilePath/Stage_greeting_for_the_movie_%E2%80%9CBut_I_Can%E2%80%99t_Stop_~Suzuka_Snack~%E2%80%9DIMG_4384.jpg?width=200,1992-11-30,B,160,,82 - 59 - 81,C,TRUE,2026,2017,プレミアム,ayakayamagishi_,ayakayamagishi_,,
山手梨愛,,山手梨愛,山手梨愛,,,2000-02-23,A,170,,99 - 58 - 88,I,FALSE,,2021-10-19,S1,yamate_ria,yamate_ria,,
岡本百合,,,岡本百合,,,1968-05-04,,163,,90 - 60 - 88,E,TRUE,1988,1987,,,,,
岡江凛,,,岡江凛,緒川、凛,,1985-02-08,O,161,,105 - 65 - 98,J,TRUE,,,,mimura_ibuki,,,
