name,_delete,nameZh,nameJa,aliases,avatar,birth,bloodType,height,weight,threeSize,cup,retired,retiredAt,debut,agency,x,instagram,tiktok,works
橋本ありな,,新有菜,橋本ありな,新有菜、橋本ありな,https://commons.wikimedia.org/wiki/Special:FilePath/Kindai_Mahjong_Swimsuit_Festival_(September_21%2C_2024)IMG_1275.jpg?width=200,1996-12-15,A,167,44kg,84 - 58 - 84,C-65,TRUE,2025,2016-10-03,,,,,
水卜さくら,,水卜櫻,水卜さくら,,,1997-11-30,O,152,,79 - 52 - 78,G,FALSE,,2017-05-07,MOODYZ,archemiura,,,
水川スミレ,,水川菫,水川スミレ,水稀、みり,,1994-02-03,O,155,,83 - 53 - 88,D,TRUE,2026-07-08,2016,マドンナ,mizuki_rei0203,mizukawasumireworld,,
水沢のの,,水澤乃乃,水沢のの,さおり,,1993-09-06,B,165,,86 - 60 - 83,E,TRUE,2015,2013,マキシング,,,,
水野朝陽,,水野朝陽,水野朝陽,本多翼、白瀬真希,,1990-11-12,A,165,,90 - 58 - 96,H,TRUE,2019,2013,マドンナ,mizuno_asahi,,,
永井みひな,,美雛,永井みひな,吉田、優,,1995-07-13,,156,,85 - 60 - 92,F,FALSE,,2017,,mihi_nanami,mihi_nanami,,
永瀬ゆい,,,永瀬ゆい,飯島里奈,,1999-10-15,A,150,,77 - 54 - 85,A-65,TRUE,2021,2019,,YuiN_attractive,yuinagase_12,,
沖那つばさ,,,沖那つばさ,,,1983-06-06,A,166,,85 - 59 - 86,D,FALSE,,2002-12-18,,,,,
沙月とわ,,沙月永遠,沙月とわ,,,1998-01-18,,167,,90 - 62 - 90,G,FALSE,,2018,ケイ・エム・プロデュース,satsuki_towa1,,,
河北彩花,,河北彩花,河北彩花,河北、彩伽,https://commons.wikimedia.org/wiki/Special:FilePath/Trend_Girls_Photo_Session_(September_28%2C_2025)_IMG_3232.jpg?width=200,1999-04-24,,169,55kg,87 - 57 - 86,E,TRUE,,2018-05-12,S1,Saika_Kawakita,saika_kawakita__official,,
河愛雪乃,,,河愛雪乃,,https://www.minnano-av.com/p_actress_125_125/010/92037.jpg?new,1990-11-16,B,158,,82 - 57 - 83,,FALSE,,2013,,,,,
河田結衣,,,河田結衣,,https://www.minnano-av.com/p_actress_125_125/011/280389.jpg?new,,,,,,,FALSE,,,,,,,
波多野結衣,,波多野結衣,波多野結衣,,https://commons.wikimedia.org/wiki/Special:FilePath/%ED%95%98%ED%83%80%EB%85%B8%EC%9C%A0%EC%9D%B4(Yui_Hatano)_%EC%9A%A9%EA%B3%BC%EA%B0%99%EC%9D%B4_%EA%B7%B9_%EA%B8%B0%EB%85%90%ED%96%89%EC%82%AC_4.jpg?width=200,1988-05-24,A,163,48kg,93 - 59 - 103,H,FALSE,,2008-06-03,BeFree,hatano_yui,hatachan524,,
浅田ちち,,淺田Chichi,浅田ちち,,,1986-04-25,A,160,,100 - 60 - 87,K,TRUE,2009,2008,,,,,
浜崎真緒,,濱崎真緒,浜崎真緒,,https://commons.wikimedia.org/wiki/Special:FilePath/DSCF3777_(53361773894).jpg?width=200,1993-10-20,B,165,53kg,85 - 59 - 84,E,TRUE,2024,2012,ソフト・オン・デマンド,Hamasaki_mao,maohamasaki_official,mao_hamasaki,
涼森れむ,,涼森玲夢,涼森れむ,,https://commons.wikimedia.org/wiki/Special:FilePath/Trend_Girls_Photo_Session_(May_4%2C_2025)IMG_2369.jpg?width=200,1997-12-03,O,160,,87 - 58 - 85,D,FALSE,,2019,プレステージ,remu19971203,remu19971203,,
深田えいみ,,深田詠美,深田えいみ,深田、詠美、天海こころ,https://commons.wikimedia.org/wiki/Special:FilePath/Kindai_Mahjong_Swimsuit_Festival_(April_28%2C_2024)051899.jpg?width=200,1998-03-18,A,158,,87.8 - 63.5 - 91.1,F,TRUE,2024,2017,FALENO,fukada0318,eimi0318,,
清水优空,,,清水优空,,,,,,,,,FALSE,,,,,,,
渚みつき,,,渚みつき,池田、亜香里,https://commons.wikimedia.org/wiki/Special:FilePath/Kindai_Mahjong_Swimsuit_Festival_(September_23%2C_2024)IMG_9060.jpg?width=200,1998-02-07,B,155,,83 - 58 - 86,B,TRUE,2024-01-31,2019-01-18,,,,,
湊莉久,,湊莉久,湊莉久,上村陽菜、三浦莉嘉,https://commons.wikimedia.org/wiki/Special:FilePath/Minato_Riku%2C_Japanese_porn_actress.jpg?width=200,1993-08-01,O,160,,82 - 58 - 83,D,TRUE,2018-01-20,2013-04-01,S1,riku_minato,ha73nato,,
瀬名あゆむ,,瀨名步,瀬名あゆむ,広瀬藍子、吉村あきの,,1986-11-09,B,158,,90 - 58 - 88,E,TRUE,2008,2007,,senachanpon,,,
片岡なぎさ,,,片岡なぎさ,,,1974|愛称=|別名=|画像ファイル=|その他=}}-11|生年=1974|愛称=|別名=|画像ファイル=|その他=}}-30|生月=11|生年=1974|愛称=|別名=|画像ファイル=|その他=}},,156,156kg,87 - 64 - 88,D,FALSE,,2017,,kataokanagisa,,,
片桐ゆう,,,片桐ゆう,雨宮ゆい,,1981-05-03,AB,156,,84 - 55 - 83,E-65,FALSE,,2001,,,,,
片瀬まこ,,,片瀬まこ,,,1983-08-22,A,156,,98 - 58 - 87,F,TRUE,2008,2005,,,,,
白石茉莉奈,,白石茉莉奈,白石茉莉奈,,https://commons.wikimedia.org/wiki/Special:FilePath/Shiraishi_Marina_from_%22I_am_a_pervert%22_at_Opening_Ceremony_of_the_Tokyo_International_Film_Festival_2016_(32800542854).jpg?width=200,1986-08-10,O,154,,90 - 60 - 90,G,FALSE,,2013-06-23,マドンナ,shiraishimarina,marina_shiraishi_official,shiraishimarina,
益坂美亜,,,益坂美亜,,,1998-02-19,B,165,,100 - 59 - 88,J,TRUE,2019,2018,アイデアポケット,,,,
相原翼,,,相原翼,夏目、ヒカル,https://www.minnano-av.com/p_actress_125_125/014/713312.jpg?new,1997-01-25,,158,,82 - 56 - 88,,TRUE,2017,2015,本中,,,,
相沢みなみ,,相澤南,相沢みなみ,,https://commons.wikimedia.org/wiki/Special:FilePath/AV%E5%A5%B3%E5%84%AA%E3%83%BB%E7%9B%B8%E6%B2%A2%E3%81%BF%E3%81%AA%E3%81%BF.png?width=200,1996-06-14,A,155,,80 - 54 - 82,C,TRUE,2023-08-16,2016-01-11,アイデアポケット,pixy_yxip,epoint2016,,
相沢夏帆,,,相沢夏帆,相沢、夏帆,,1998-06-17,,151,,90 - 57 - 88,G,FALSE,,2018-04-25,E-BODY,morishita_mirei,,,
相澤ゆりな,,,相澤ゆりな,,,1995-06-11,B,148,52kg,87 - 58 - 83,G,TRUE,2020,2015,E-BODY,,,,
相田すみれ,,,相田すみれ,,,1985-04-08,B,152,,92 - 59 - 90,H,TRUE,2006,2004,,,,,
石倉えいみ,,石倉詠美,石倉えいみ,,,1982-10-27,A,157,,86 - 59 - 88,F,FALSE,,2011,,,,,
石原小百合,,,石原小百合,,https://www.minnano-av.com/p_actress_125_125/007/335782.jpg?new,1958-??-??,,,,,,FALSE,,,,,,,
石原希望,,石原希望,石原希望,のん,https://commons.wikimedia.org/wiki/Special:FilePath/Kindai_Mahjong_Swimsuit_Festival_(July_2%2C_2026)IMG_2553.jpg?width=200,2000-07-25,,158,,90 - 58 - 90,F,FALSE,,2020,MOODYZ,nozomi_ishihara,nozomi_ishihara.official,nozomi_ishihara,
碧しの,,篠惠美,碧しの,篠めぐみ、中村遙香,,1990-09-08,A,163,,80 - 58 - 85,D,TRUE,2019-05-21,2009,,shino_aoi0908,,,
示例女优,,示例女优,示例女優,,,1993-08-16,,159,45kg,88 - 58 - 86,G-80,FALSE,,,,,,,
神ユキ,,神雪,神ユキ,,,1987-01-11,A,161,,90 - 60 - 100,G,FALSE,,,,jinyuki_,jinyuki_,,
神代しずく,,,神代しずく,姫宮、しおり,,1986-07-07,A,162,,82 - 56 - 82,C,TRUE,2007,2006,,,,,
神咲アンナ,,,神咲アンナ,あいら、http:,,1987-01-05,O,160,,83 - 58 - 82,D,TRUE,2006,2005-11-25,,,,,
神咲詩織,,神咲詩織,神咲詩織,,https://commons.wikimedia.org/wiki/Special:FilePath/Kamisaki_Shiori%2C_Japanese_porn_actress.jpg?width=200,1990-08-25,A,162,,91 - 58 - 87,G,TRUE,2019,2011-03-11,WILLグループ,koarachan1213,koara_chan1213,,
神坂ひなの,,,神坂ひなの,ひなの、椎名,,1996-03-03,O,150,,78 - 56 - 84,A-65,TRUE,2021-05-25,2017-01-21,SOD,hina_kanno0303,,,
神宮寺ナオ,,神宮寺奈緒,神宮寺ナオ,,https://commons.wikimedia.org/wiki/Special:FilePath/TRE20250810Videoframe_477481.png?width=200,1997-02-15,B,160,,86 - 61 - 88,E-65,FALSE,,2017-06-28,MOODYZ,nao_jinguji,jinguji_nao,,
神川ひな,,,神川ひな,,,1992-10-13,A,153,,90 - 55 - 85,H,FALSE,,2012,,,,,
神谷姫,,神谷姬,神谷姫,,,1985-05-24,B,162,,80 - 58 - 80,C-65,FALSE,,2005-01-21,PREMIUM,,,,
神谷沙織,,,神谷沙織,,,1981-12-13,A,158,,83 - 58 - 81,D-65,TRUE,2003,2001-12-31,,,,,
秋元なつみ,,,秋元なつみ,,,1985-08-25,A,154,,86 - 58 - 85,D,TRUE,2006,2005,,,,,
秋元美由,,秋元美由,秋元美由,,,1990-02-16,O,159,,78 - 58 - 85,A,FALSE,,2008,,,,,
秋菜里子,,,秋菜里子,,https://www.minnano-av.com/p_actress_125_125/000/210659.jpg?new,1980-06-02,A,158,,81 - 58 - 83,,TRUE,2000,1999-10-22,,,,,
笠木いちか,,,笠木いちか,いちか、桜庭,,1998-04-15,,154,48kg,80 - 58 - 82,C,FALSE,,2019,kawaii*,kasagiichika,kasagiichika,,
篠原りょう,,,篠原りょう,,https://www.minnano-av.com/p_actress_125_125/003/316854.jpg?new,,,,,,,FALSE,,,,,,,
篠田ゆう,,篠田优,篠田ゆう,,,1991-07-21,O,155,,88 - 60 - 88,F,TRUE,2023,2010,マドンナ,,,,
紅葉雫,,,紅葉雫,紅葉雫、月島りお,,1985-04-10,,160,,85 - 58 - 85,D,TRUE,2009,2007,,,,,
綾瀬みう,,,綾瀬みう,井川、舞衣,,1987-02-10,B,152,,84 - 56 - 83,C-65,TRUE,2008,2006-12-16,,,,,
綾瀬れん,,大塚蓮,綾瀬れん,綾瀬れん、大塚れん}},,1990-10-08,O,157,,92 - 60 - 83,H,TRUE,2018,2011,SOD,renren_108,renren108,,
緒川凛,,,緒川凛,緒川、凛,,1985-02-08,O,161,,105 - 65 - 98,J,TRUE,,,,mimura_ibuki,,,
緒方れいな,,,緒方れいな,,https://www.minnano-av.com/p_actress_125_125/010/892364.jpg?new,,,,,,,FALSE,,,,,,,
美谷朱里,,美谷朱音,美谷朱里,,https://commons.wikimedia.org/wiki/Special:FilePath/Akari_Mitani_IMG_5811-2.jpg?width=200,1996-05-25,A,166,57kg,83 - 58 - 96,E,TRUE,2025,2017,ダスッ!,akari_mitani17,akanemitani0415,,
胡桃沢まり奈,,,胡桃沢まり奈,胡桃沢、まり奈,,1978-08-29,B,158,,83 - 59 - 87,C,FALSE,,,,,,,
菊池えり,,,菊池えり,菊地えり、秋本,,1965-04-05,A,168,,94 - 60 - 86,,FALSE,,1985,,,,,
華山美玲,,,華山美玲,,,1974-12-07,,165,,90 - 60 - 93,F,FALSE,,2009,,,,,
葵つかさ,,葵司,葵つかさ,,https://commons.wikimedia.org/wiki/Special:FilePath/%EC%95%84%EC%98%A4%EC%9D%B4%EC%B8%A0%EC%B9%B4%EC%82%AC(Aoi_Tsukasa)_%EA%B5%AD%EB%82%B4_%ED%8C%AC%EB%AF%B8%ED%8C%85_5.jpg?width=200,1990-08-14,O,163,,88 - 58 - 86,E,TRUE,2025-07-20,2010,エスワン,,,,
葵ぶるま,,葵舞琉真,葵ぶるま,,,1989-12-17,O,152,,92 - 61 - 86,G,FALSE,,2009,MOODYZ,,,,
葵みのり,,葵實野理,葵みのり,,,1980-03-28,B,157,,82 - 54 - 86,B-65,TRUE,2001,1999-02-28,,,,,
蒼井そら,,蒼井空,蒼井そら,苍井空,https://commons.wikimedia.org/wiki/Special:FilePath/Aoi_Sora_%22Lazy_Hazy_Crazy%22_at_Opening_Ceremony_of_the_28th_Tokyo_International_Film_Festival_(22241441840)_(cropped).jpg?width=200,1981-04-26,,155,,90 - 58 - 83,G,TRUE,2011,2002-06-14,エスワン,,,,
藍山みなみ,,蓝山南,藍山みなみ,,,1982-05-28,AB,155,54kg,80 - 60 - 90,B,TRUE,2007-06-07,2003,,,,,
藤井いよな,,,藤井いよな,,,1998-06-24,,165,,82 - 56 - 84,D,TRUE,2023,2020,アイデアポケット アタッカーズ,,_inu_kawaii_ne,,
藤森里穂,,藤森里穗,藤森里穂,,https://commons.wikimedia.org/wiki/Special:FilePath/Trend_Girls_Photo_Session_(September_27%2C_2025)IMG_2740.jpg?width=200,1996-12-03,B,160,47kg,86 - 60 - 88,G,FALSE,,2019,マドンナ,fujimoriho123,fujimoriho123,,
藤浦めぐ,,惠理,藤浦めぐ,藤浦、めぐ,https://commons.wikimedia.org/wiki/Special:FilePath/Trend_Girls_Photo_Session_(September_15%2C_2024)IMG_6448.jpg?width=200,1989-05-04,,155,,95 - 60 - 88,G,TRUE,2010,2009-02-11,,meguri0504,,meguri0504,
藤田こずえ,,藤田梢,藤田こずえ,藤田こずえ,https://commons.wikimedia.org/wiki/Special:FilePath/Stage_greeting_for_the_Housewife_Ghost_Story_Lustful_Sobs_IMG_0097.jpg?width=200,2001-05-20,A,153,,82 - 58 - 82,C,FALSE,,,プライムエージェンシー,yuzu__fujita,yuzufujita0520,yuzufujita0520,
西宮このみ,,,西宮このみ,,,1997-02-22,,167,,80 - 59 - 88,C,TRUE,2018,2016,MOODYZ,,,,
西田カリナ,,,西田カリナ,,https://commons.wikimedia.org/wiki/Special:FilePath/Virgin_concerto_20191005_155011.jpg?width=200,1995-07-07,A,159,,78 - 56 - 82,B,TRUE,2021,2014-08-21,ワンズファクトリー,,,,
西野翔,,西野翔,西野翔,,,1985-06-29,O,159,,81 - 57 - 86,C,TRUE,2019,2004,SOD,showtaro3,nishino_show,,
逢沢はるか,,,逢沢はるか,,https://www.minnano-av.com/p_actress_125_125/011/930364.jpg?new,,,,,,,FALSE,,,,,,,
逢沢りいな,,,逢沢りいな,はとり、心咲,,1998-10-10,,164,,97 - 60 - 95,H,FALSE,,2018,Fitch,,,,
逢田梨香子,,逢田梨香子,逢田梨香子,,,1992-08-08,O,150,,,,FALSE,,2014-06-19,賢プロダクション,Rikako_Aida,aida_rikako_,,
逢見リカ,,逢見梨花,逢見リカ,,https://commons.wikimedia.org/wiki/Special:FilePath/Trend_Girls_Photo_Session_(September_15%2C_2024)IMG_8357.jpg?width=200,1999-12-30,A,145,38kg,79 - 53 - 78,H,FALSE,,2019-02-01,DAHLIA,aimi__rika,,aimi__rika,
那月めい,,,那月めい,,,1995-11-20,B,160,,82 - 59 - 83,,FALSE,,2015,,,,,
金城アンナ,,,金城アンナ,,,1984-08-31,A,160,,83 - 58 - 85,C,TRUE,,,,,,,
鈴木さとみ,,鈴木里美,鈴木さとみ,まお、浅田真美,,1988-09-09,A,151,,85 - 58 - 82,F,FALSE,,2007,,,,,
鈴木心春,,鈴木心春,鈴木心春,,,1993-12-01,A,160,,85 - 58 - 85,F,TRUE,2018,2013,エスワン,koharusuzuki,,,
鈴村あいり,,鈴村愛里,鈴村あいり,,https://commons.wikimedia.org/wiki/Special:FilePath/%E9%88%B4%E6%9D%91%E3%81%82%E3%81%84%E3%82%8A2015%E5%B9%B4.jpg?width=200,1993-09-24,A,152,,82 - 53 - 80,E,FALSE,,2013,プレステージ,naxsuzumura,airi_suzumura_nax,,
阿由葉あみ,,阿由葉亞美,阿由葉あみ,白鳥、七楓,https://www.minnano-av.com/p_actress_125_125/018/494131.jpg?new,,,165,,89 - 56 - 85,,FALSE,,2018,エスワン,ayuha_ami,,,
雨依つばめ,,,雨依つばめ,,,1998-09-11,A,152,,73 - 55 - 87,B,TRUE,2025,2022-11-11,,,,,
雨宮琴音,,雨宮琴音,雨宮琴音,,,1988-03-30,B,168,,87 - 56 - 83,E,TRUE,2014,2008,,AmamiyaKotone,,,
霧宮てん,,木村都那,霧宮てん,木村つな、紺野いろは,,1992-08-21,A,151,,82 - 59 - 90,B-70,TRUE,2017,2012,,kirimiya_ten,kirimiya_ten,,
青山はな,,青山華,青山はな,,,1989-10-08,A,149,,89 - 60 - 87,G,TRUE,2018,2016,マキシング,aoyama_hana,hana_aoyama,,
青山ひより,,,青山ひより,青山、ひより,,1983-09-04,A,150,,88 - 60 - 88,E-65,FALSE,,2004-03-18,,yuria_hidaka,,,
青木菜摘,,,青木菜摘,椎野、まお,,1989-01-06,O,149,,86 - 58 - 88,D,FALSE,,2008,アタッカーズ,,,,
青沼ちあさ,,,青沼ちあさ,,,1975-08-01,O,161,,82 - 58 - 85,B,FALSE,,,,,,,
風見里穂,,,風見里穂,,,1982-08-28,,150,,83 - 59 - 84,C-70,FALSE,,2002,,,,,
風間恭子,,,風間恭子,,,1977-02-20,O,156,,95 - 60 - 85,G,FALSE,,1995,,,,,
香西咲,,香西咲,香西咲,,,1986-03-30,B,160,,84 - 57 - 85,D-65,TRUE,2018,2011,アタッカーズ,kouzaisaki_fm,saki.kouzai,,
高杉麻里,,高杉麻里,高杉麻里,,,1998-01-30,AB,166,,88 - 59 - 89,E,TRUE,2020,2017,,,mari_takasugi,,
高橋しょう子,,高橋聖子,高橋しょう子,,https://commons.wikimedia.org/wiki/Special:FilePath/%E9%AB%98%E6%A9%8B%E3%81%97%E3%82%87%E3%81%86%E5%AD%902018%E5%B9%B4.jpg?width=200,1993-05-13,B,161,,87 - 59 - 86,G,TRUE,2022,2016-05-01,MOODYZ,TS_takasho,ts_takasho,,
高瀬りな,,,高瀬りな,,,,,,,,,FALSE,,,,,,,
鮎川あゆみ,,,鮎川あゆみ,,,1987-05-10,O,162,,108 - 60 - 85,I,FALSE,,2008,,,,,
鮎川さくら,,,鮎川さくら,,,1987-03-03,AB,170,,85 - 58 - 86,D,FALSE,,2007,,,,,
鮎川みさと,,,鮎川みさと,,,1985-04-15,,150,,93 - 63 - 85,G,FALSE,,,,,,,
鮎川千里,,,鮎川千里,舟川、ちさと,,1989-06-20,,163,48kg,84 - 58 - 89,E-65,TRUE,2012-12-18,2011,,,,,
麻生遥,,麻生遙,麻生遥,はるか、橘,,1995-06-28,,160,,84 - 59 - 88,E,TRUE,2017,2016,アイデアポケット,,,,
麻美ゆま,,麻美由真,麻美ゆま,,https://commons.wikimedia.org/wiki/Special:FilePath/Asami_Yuma.jpg?width=200,1987-03-24,AB,158,,96 - 58 - 88,H,TRUE,2012,2005-10-28,エスワン,asami_yuma,yuma_asami0324,,
麻里梨夏,,麻里梨夏,麻里梨夏,成海、うるみ,,1993-06-09,,148,,80 - 56 - 82,D-65,TRUE,2019-09-14,2014,本中,,,,
黒崎みか,,黑崎美嘉,黒崎みか,,,1997-06-27,A,166,,88 - 57 - 88,E-70,FALSE,,2018,アイデアポケット,mika_krsk2525,niconico_mikachan,,
黒木アリサ,,,黒木アリサ,,,1985-10-15,A,163,,96 - 58 - 85,G,FALSE,,2008,,,,,
黒谷渚,,,黒谷渚,,https://www.minnano-av.com/p_actress_125_125/001/452443.jpg?new,,,170,,82 - 59 - 86,,FALSE,,,,,,,
